N -.
L .-..
M --
J .---
H ....
F ..-.
D -..
B -...
A .-
K -.-
I ..
G --.
E .
C -.-.
P .--.
R .-.
T -
V ...-
X -..-
Z --..
O ---
Q --.-
S ...
W .--
Y -.--
Z --..
8 ---..
9 ----.
6 -....
4 ....-
2 ..---
0 -----
7 --...
5 .....
3 ...--
1 .----
. .-.-.-
, --..--
? ..--..
